timeframe,trade_index,timestamp,equity,return_pct,series_id,option_type
5m,55,2025-07-03T14:35:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-10,PE
5m,56,2025-07-03T14:40:00+05:30,0.0,30.0,SENSEX|weekly|2025-07-15,PE
5m,57,2025-07-03T15:30:00+05:30,0.0,-99.9802,NIFTY|weekly|2025-07-03,PE
5m,58,2025-07-03T15:30:00+05:30,0.0,-18.6644,NIFTY|weekly|2025-07-03,CE
5m,59,2025-07-03T15:30:00+05:30,0.0,-23.4332,NIFTY|weekly|2025-07-03,CE
5m,60,2025-07-04T09:40:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-17,PE
5m,61,2025-07-08T15:30:00+05:30,0.0,-99.9943,SENSEX|weekly|2025-07-08,PE
5m,62,2025-07-08T15:30:00+05:30,0.0,-25.4649,SENSEX|weekly|2025-07-08,CE
5m,63,2025-07-09T11:15:00+05:30,0.0,30.0,SENSEX|monthly|2025-07-29,CE
5m,64,2025-07-10T10:15:00+05:30,0.0,30.0,SENSEX|weekly|2025-07-22,PE
5m,65,2025-07-10T15:30:00+05:30,0.0,-85.9618,NIFTY|weekly|2025-07-10,CE
5m,66,2025-07-10T15:30:00+05:30,0.0,-99.9539,NIFTY|weekly|2025-07-10,PE
5m,67,2025-07-10T15:30:00+05:30,0.0,-51.8357,NIFTY|weekly|2025-07-10,CE
5m,68,2025-07-11T10:35:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-24,PE
5m,69,2025-07-11T10:35:00+05:30,0.0,30.0,SENSEX|weekly|2025-07-22,PE
5m,70,2025-07-11T10:45:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-17,PE
5m,71,2025-07-11T11:10:00+05:30,0.0,30.0,SENSEX|weekly|2025-07-15,PE
5m,72,2025-07-14T09:25:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-17,PE
5m,73,2025-07-14T09:25:00+05:30,0.0,30.0,SENSEX|weekly|2025-07-15,PE
5m,74,2025-07-14T11:35:00+05:30,0.0,30.0,SENSEX|weekly|2025-07-22,PE
5m,75,2025-07-14T13:10:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-24,PE
5m,76,2025-07-15T11:05:00+05:30,0.0,30.0,NIFTY|weekly|2025-07-24,CE
5m,77,2025-07-15T15:30:00+05:30,0.0,-99.9945,SENSEX|weekly|2025-07-15,CE
5m,78,2025-07-15T15:30:00+05:30,0.0,0.5659,SENSEX|weekly|2025-07-15,PE
5m,79,2025-07-17T14:55:00+05:30,0.0,20.0,NIFTY|weekly|2025-07-17,PE
