strategy,underlying,expiry_kind,expiry,option_type,entry_time,entry_price,exit_time,exit_price,exit_reason,blended_return,max_possible_return,ladder_exits,remaining_at_exit
target_30pct,NIFTY,weekly,2025-05-15,PE,2025-05-02 14:30:00+05:30,367.95,2025-05-09 09:15:00+05:30,478.335,target_30pct_hit,30.0,61.4893,,0.0
target_50pct,NIFTY,weekly,2025-05-15,PE,2025-05-02 14:30:00+05:30,367.95,2025-05-09 09:15:00+05:30,551.925,target_50pct_hit,50.0,61.4893,,0.0
target_75pct,NIFTY,weekly,2025-05-15,PE,2025-05-02 14:30:00+05:30,367.95,2025-05-15 15:30:00+05:30,0.05,hold_to_end,-99.9864,61.4893,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-15,PE,2025-05-13 09:50:00+05:30,97.05,2025-05-13 10:35:00+05:30,120.795,trail_stop,26.1267,34.4668,30.0,0.7
target_30pct,NIFTY,weekly,2025-05-15,PE,2025-05-13 09:50:00+05:30,97.05,2025-05-13 10:35:00+05:30,126.165,target_30pct_hit,30.0,34.4668,,0.0
target_50pct,NIFTY,weekly,2025-05-15,PE,2025-05-13 09:50:00+05:30,97.05,2025-05-15 15:30:00+05:30,0.05,hold_to_end,-99.9485,34.4668,,0.0
target_75pct,NIFTY,weekly,2025-05-15,PE,2025-05-13 09:50:00+05:30,97.05,2025-05-15 15:30:00+05:30,0.05,hold_to_end,-99.9485,34.4668,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-15,PE,2025-05-13 12:50:00+05:30,94.8,2025-05-13 13:00:00+05:30,115.17,trail_stop,24.0411,31.4873,30.0,0.7
target_30pct,NIFTY,weekly,2025-05-15,PE,2025-05-13 12:50:00+05:30,94.8,2025-05-13 13:00:00+05:30,123.24,target_30pct_hit,30.0,31.4873,,0.0
target_50pct,NIFTY,weekly,2025-05-15,PE,2025-05-13 12:50:00+05:30,94.8,2025-05-15 15:30:00+05:30,0.05,hold_to_end,-99.9473,31.4873,,0.0
target_75pct,NIFTY,weekly,2025-05-15,PE,2025-05-13 12:50:00+05:30,94.8,2025-05-15 15:30:00+05:30,0.05,hold_to_end,-99.9473,31.4873,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-15,PE,2025-05-14 12:45:00+05:30,43.25,2025-05-14 12:50:00+05:30,62.265,trail_stop,39.9827,98.9595,30.0|40.0|50.0,0.5
target_30pct,NIFTY,weekly,2025-05-15,PE,2025-05-14 12:45:00+05:30,43.25,2025-05-14 12:50:00+05:30,56.225,target_30pct_hit,30.0,98.9595,,0.0
target_50pct,NIFTY,weekly,2025-05-15,PE,2025-05-14 12:45:00+05:30,43.25,2025-05-14 12:50:00+05:30,64.875,target_50pct_hit,50.0,98.9595,,0.0
target_75pct,NIFTY,weekly,2025-05-15,PE,2025-05-14 12:45:00+05:30,43.25,2025-05-14 12:55:00+05:30,75.6875,target_75pct_hit,75.0,98.9595,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-15,PE,2025-05-15 09:50:00+05:30,51.9,2025-05-15 10:25:00+05:30,36.33,hard_sl,-30.0,42.7553,,1.0
target_30pct,NIFTY,weekly,2025-05-15,PE,2025-05-15 09:50:00+05:30,51.9,2025-05-15 15:30:00+05:30,0.05,hold_to_end,-99.9037,42.7553,,0.0
target_50pct,NIFTY,weekly,2025-05-15,PE,2025-05-15 09:50:00+05:30,51.9,2025-05-15 15:30:00+05:30,0.05,hold_to_end,-99.9037,42.7553,,0.0
target_75pct,NIFTY,weekly,2025-05-15,PE,2025-05-15 09:50:00+05:30,51.9,2025-05-15 15:30:00+05:30,0.05,hold_to_end,-99.9037,42.7553,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-22,CE,2025-05-08 11:25:00+05:30,284.75,2025-05-08 15:30:00+05:30,199.325,hard_sl,-30.0,147.7612,,1.0
target_30pct,NIFTY,weekly,2025-05-22,CE,2025-05-08 11:25:00+05:30,284.75,2025-05-12 09:35:00+05:30,370.175,target_30pct_hit,30.0,147.7612,,0.0
target_50pct,NIFTY,weekly,2025-05-22,CE,2025-05-08 11:25:00+05:30,284.75,2025-05-12 10:00:00+05:30,427.125,target_50pct_hit,50.0,147.7612,,0.0
target_75pct,NIFTY,weekly,2025-05-22,CE,2025-05-08 11:25:00+05:30,284.75,2025-05-12 12:35:00+05:30,498.3125,target_75pct_hit,75.0,147.7612,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-22,CE,2025-05-14 09:40:00+05:30,411.05,2025-05-14 12:55:00+05:30,287.735,hard_sl,-30.0,71.6336,,1.0
target_30pct,NIFTY,weekly,2025-05-22,CE,2025-05-14 09:40:00+05:30,411.05,2025-05-15 13:15:00+05:30,534.365,target_30pct_hit,30.0,71.6336,,0.0
target_50pct,NIFTY,weekly,2025-05-22,CE,2025-05-14 09:40:00+05:30,411.05,2025-05-15 13:45:00+05:30,616.575,target_50pct_hit,50.0,71.6336,,0.0
target_75pct,NIFTY,weekly,2025-05-22,CE,2025-05-14 09:40:00+05:30,411.05,2025-05-22 15:30:00+05:30,159.69,hold_to_end,-61.1507,71.6336,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-22,CE,2025-05-16 10:20:00+05:30,640.95,2025-05-20 11:55:00+05:30,448.665,hard_sl,-30.0,0.0,,1.0
target_30pct,NIFTY,weekly,2025-05-22,CE,2025-05-16 10:20:00+05:30,640.95,2025-05-22 15:30:00+05:30,159.69,hold_to_end,-75.0854,0.0,,0.0
target_50pct,NIFTY,weekly,2025-05-22,CE,2025-05-16 10:20:00+05:30,640.95,2025-05-22 15:30:00+05:30,159.69,hold_to_end,-75.0854,0.0,,0.0
target_75pct,NIFTY,weekly,2025-05-22,CE,2025-05-16 10:20:00+05:30,640.95,2025-05-22 15:30:00+05:30,159.69,hold_to_end,-75.0854,0.0,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-22,PE,2025-05-08 13:15:00+05:30,300.0,2025-05-08 14:50:00+05:30,394.25,trail_stop,31.85,101.6667,30.0|40.0,0.6
target_30pct,NIFTY,weekly,2025-05-22,PE,2025-05-08 13:15:00+05:30,300.0,2025-05-08 14:50:00+05:30,390.0,target_30pct_hit,30.0,101.6667,,0.0
target_50pct,NIFTY,weekly,2025-05-22,PE,2025-05-08 13:15:00+05:30,300.0,2025-05-08 14:55:00+05:30,450.0,target_50pct_hit,50.0,101.6667,,0.0
target_75pct,NIFTY,weekly,2025-05-22,PE,2025-05-08 13:15:00+05:30,300.0,2025-05-08 14:55:00+05:30,525.0,target_75pct_hit,75.0,101.6667,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-22,PE,2025-05-13 09:40:00+05:30,150.25,2025-05-13 10:35:00+05:30,190.675,trail_stop,27.8336,42.4293,30.0,0.7
target_30pct,NIFTY,weekly,2025-05-22,PE,2025-05-13 09:40:00+05:30,150.25,2025-05-13 10:35:00+05:30,195.325,target_30pct_hit,30.0,42.4293,,0.0
target_50pct,NIFTY,weekly,2025-05-22,PE,2025-05-13 09:40:00+05:30,150.25,2025-05-22 15:30:00+05:30,0.05,hold_to_end,-99.9667,42.4293,,0.0
target_75pct,NIFTY,weekly,2025-05-22,PE,2025-05-13 09:40:00+05:30,150.25,2025-05-22 15:30:00+05:30,0.05,hold_to_end,-99.9667,42.4293,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-05-22,PE,2025-05-13 12:35:00+05:30,174.4,2025-05-14 10:10:00+05:30,122.08,hard_sl,-30.0,22.7064,,1.0
target_30pct,NIFTY,weekly,2025-05-22,PE,2025-05-13 12:35:00+05:30,174.4,2025-05-22 15:30:00+05:30,0.05,hold_to_end,-99.9713,22.7064,,0.0
target_50pct,NIFTY,weekly,2025-05-22,PE,2025-05-13 12:35:00+05:30,174.4,2025-05-22 15:30:00+05:30,0.05,hold_to_end,-99.9713,22.7064,,0.0
target_75pct,NIFTY,weekly,2025-05-22,PE,2025-05-13 12:35:00+05:30,174.4,2025-05-22 15:30:00+05:30,0.05,hold_to_end,-99.9713,22.7064,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-06-05,CE,2025-05-22 15:05:00+05:30,268.0,2025-05-23 09:45:00+05:30,335.15,trail_stop,26.5392,114.5149,30.0,0.7
target_30pct,NIFTY,weekly,2025-06-05,CE,2025-05-22 15:05:00+05:30,268.0,2025-05-23 09:40:00+05:30,348.4,target_30pct_hit,30.0,114.5149,,0.0
target_50pct,NIFTY,weekly,2025-06-05,CE,2025-05-22 15:05:00+05:30,268.0,2025-05-23 10:50:00+05:30,402.0,target_50pct_hit,50.0,114.5149,,0.0
target_75pct,NIFTY,weekly,2025-06-05,CE,2025-05-22 15:05:00+05:30,268.0,2025-05-23 11:00:00+05:30,469.0,target_75pct_hit,75.0,114.5149,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-06-05,CE,2025-05-26 09:20:00+05:30,527.29,2025-05-27 10:05:00+05:30,369.103,hard_sl,-30.0,9.0292,,1.0
