entry_time,entry_price,return_pct,exit_reason,max_possible,option_type,exp
2026-01-12 12:25:00+05:30,219.85,50.0,target,66.02,CE,2026-01-22
2026-01-13 11:40:00+05:30,292.4,-50.0,sl,1.25,CE,2026-01-22
2026-01-14 11:45:00+05:30,146.0,50.0,target,64.38,CE,2026-01-22
2026-01-16 12:10:00+05:30,176.9,-50.0,sl,7.77,CE,2026-01-22
2026-01-19 14:00:00+05:30,40.45,-50.0,sl,22.74,CE,2026-01-22
2026-01-22 09:55:00+05:30,3.7,-50.0,sl,24.32,CE,2026-01-22
2026-01-22 13:50:00+05:30,2.45,-50.0,sl,24.49,CE,2026-01-22
2026-01-13 10:00:00+05:30,1240.05,50.0,target,170.27,PE,2026-01-22
2026-01-21 14:40:00+05:30,2800.0,-11.475,end,4.29,PE,2026-01-22
2026-01-22 14:40:00+05:30,1017.35,-50.0,sl,199.73,CE,2026-02-05
2026-01-29 12:25:00+05:30,608.0,-50.0,sl,401.53,CE,2026-02-05
2026-02-02 13:05:00+05:30,153.4,50.0,target,1887.81,CE,2026-02-05
2026-02-04 13:25:00+05:30,1280.0,-36.3008,end,16.95,CE,2026-02-05
2026-01-23 10:20:00+05:30,967.8,50.0,target,180.92,PE,2026-02-05
2026-01-27 10:50:00+05:30,1450.0,-50.0,sl,87.5,PE,2026-02-05
2026-01-29 09:45:00+05:30,995.7,-50.0,sl,173.05,PE,2026-02-05
2026-02-01 12:00:00+05:30,803.45,50.0,target,238.38,PE,2026-02-05
2026-02-04 15:25:00+05:30,36.3,-50.0,sl,18.46,PE,2026-02-05
2026-01-30 13:00:00+05:30,1102.85,-50.0,sl,117.29,CE,2026-02-12
2026-02-02 12:25:00+05:30,489.95,50.0,target,389.1,CE,2026-02-12
2026-02-06 11:35:00+05:30,1322.2,50.0,target,77.73,CE,2026-02-12
2026-02-09 13:25:00+05:30,2025.0,-26.6667,end,16.05,CE,2026-02-12
2026-01-30 09:20:00+05:30,808.25,50.0,target,140.54,PE,2026-02-12
2026-02-05 09:45:00+05:30,142.1,-50.0,sl,24.95,PE,2026-02-12
2026-02-09 15:05:00+05:30,40.9,50.0,target,56.48,PE,2026-02-12
2026-02-06 11:50:00+05:30,608.35,50.0,target,83.46,CE,2026-02-19
2026-02-09 13:15:00+05:30,890.0,-50.0,sl,25.4,CE,2026-02-19
2026-02-16 12:30:00+05:30,148.35,50.0,target,105.49,CE,2026-02-19
2026-02-17 10:20:00+05:30,228.9,-50.0,sl,33.18,CE,2026-02-19
2026-02-18 12:45:00+05:30,115.2,50.0,target,158.25,CE,2026-02-19
2026-02-06 13:05:00+05:30,880.15,-50.0,sl,50.89,PE,2026-02-19
2026-02-09 15:20:00+05:30,420.0,-50.0,sl,216.21,PE,2026-02-19
2026-02-11 12:40:00+05:30,248.55,50.0,target,434.34,PE,2026-02-19
2026-02-13 12:50:00+05:30,866.0,50.0,target,53.36,PE,2026-02-19
2026-02-17 14:15:00+05:30,536.1,-50.0,sl,131.37,PE,2026-02-19
2026-02-19 10:30:00+05:30,279.0,50.0,target,344.59,PE,2026-02-19
