underlying,target,n_trades,win_rate,avg_ret,median_ret,avg_win,avg_loss
DALBHARAT,30,44,63.6,-1.24,30.0,30.0,-55.91
DALBHARAT,50,44,54.5,1.77,50.0,50.0,-56.11
DALBHARAT,75,44,40.9,-1.68,-50.54,75.0,-54.76
DELHIVERY,20,49,83.7,7.46,20,19.89,-56.23
DELHIVERY,30,49,71.4,4.35,30,28.56,-56.18
DELHIVERY,50,49,59.2,4.23,50,45.33,-55.37
DELHIVERY,75,49,53.1,7.47,15.51,63.17,-55.5
DIVISLAB,20,58,75.9,2.27,20.0,19.64,-52.33
DIVISLAB,30,58,69.0,4.95,30.0,29.35,-49.28
DIVISLAB,50,58,53.4,2.19,35.5,47.58,-49.93
DIVISLAB,75,58,39.7,-3.85,-50.37,69.57,-52.09
DIXON,20,52,65.4,-5.56,20.0,19.53,-52.96
DIXON,30,52,53.8,-9.41,30.0,29.07,-54.3
DIXON,50,52,51.9,-1.41,15.75,47.46,-54.19
DIXON,75,52,46.2,1.84,-37.07,68.64,-55.41
DLF,20,56,58.9,-9.29,20.0,19.61,-50.75
DLF,30,56,53.6,-8.3,30.0,29.24,-51.61
DLF,50,56,46.4,-5.31,-38.63,48.35,-51.81
DLF,75,56,37.5,-6.18,-50.33,68.86,-51.2
DMART,20,53,67.9,-3.4,20,19.55,-52.02
DMART,30,53,58.5,-5.24,30,28.07,-52.17
DMART,50,53,54.7,1.37,21.4,45.87,-52.4
DMART,75,53,45.3,-0.86,-50.25,63.78,-54.36
DRREDDY,20,52,69.2,-3.63,20.0,19.59,-55.89
DRREDDY,30,52,59.6,-4.81,30.0,29.21,-55.03
DRREDDY,50,52,48.1,-5.41,-18.38,45.86,-52.88
DRREDDY,75,52,40.4,-4.99,-50.21,66.5,-53.41
EICHERMOT,20,55,67.3,-1.34,20,19.6,-44.38
EICHERMOT,30,55,63.6,1.98,30,29.29,-45.83
EICHERMOT,50,55,43.6,-7.31,-16.91,46.83,-49.23
EICHERMOT,75,55,36.4,-7.94,-50.69,66.72,-50.61
ETERNAL,20,63,77.8,5.26,20,19.75,-45.45
ETERNAL,30,63,68.3,4.34,30,28.69,-48.01
ETERNAL,50,63,55.6,3.8,50,46.68,-49.79
ETERNAL,75,63,42.9,0.42,-50.0,67.3,-49.74
EXIDEIND,20,63,74.6,1.07,20,20.0,-54.52
EXIDEIND,30,63,61.9,-1.96,30,30.0,-53.9
EXIDEIND,50,63,49.2,-4.17,-32.46,46.75,-53.5
EXIDEIND,75,63,39.7,-5.23,-50.79,67.96,-53.39
FEDERALBNK,20,56,73.2,0.3,20.0,20.0,-53.55
FEDERALBNK,30,56,67.9,3.23,30.0,30.0,-53.29
FEDERALBNK,50,56,55.4,4.46,50.0,49.25,-51.07
FEDERALBNK,75,56,44.6,2.71,-50.0,69.67,-51.29
FINNIFTY,20,45,60.0,-10.35,20,20.0,-55.86
FINNIFTY,30,45,51.1,-13.25,11.07,29.18,-57.61
FINNIFTY,50,45,44.4,-10.74,-50.37,48.05,-57.77
FINNIFTY,75,45,40.0,-6.77,-50.95,69.18,-57.41
FORTIS,20,38,60.5,-10.03,20.0,20.0,-56.08
FORTIS,30,38,55.3,-8.68,30.0,29.54,-55.89
FORTIS,50,38,50.0,-2.2,8.53,48.44,-52.84
FORTIS,75,38,44.7,0.49,-30.57,66.39,-52.85
GAIL,20,57,68.4,-1.12,20,20.0,-46.89
GAIL,30,57,61.4,-0.37,30,30.0,-48.69
GAIL,50,57,49.1,-0.76,-4.55,50.0,-49.77
GAIL,75,57,38.6,-4.45,-50.0,68.68,-50.43
GLENMARK,20,49,75.5,1.2,20,20.0,-56.77
GLENMARK,30,49,67.3,1.66,30,29.69,-56.14
GLENMARK,50,49,53.1,0.92,50,48.83,-53.24
GLENMARK,75,49,40.8,-6.34,-50.34,64.35,-55.09
GMRAIRPORT,20,57,77.2,3.93,20,20.0,-50.45
GMRAIRPORT,30,57,61.4,-1.45,30,30.0,-51.48
GMRAIRPORT,50,57,50.9,0.11,18.85,48.93,-50.44
GMRAIRPORT,75,57,33.3,-10.31,-50.87,72.04,-51.49
GODREJCP,20,50,68.0,-5.11,20.0,19.16,-56.7
GODREJCP,30,50,62.0,-4.12,30.0,28.44,-57.24
GODREJCP,50,50,44.0,-12.02,-50.51,45.9,-57.54
GODREJCP,75,50,36.0,-15.76,-51.06,56.41,-56.35
GODREJPROP,20,59,64.4,-5.36,20,20.0,-51.25
GODREJPROP,30,59,62.7,-0.33,30,30.0,-51.34
GODREJPROP,50,59,54.2,3.3,50,49.85,-51.89
GODREJPROP,75,59,50.8,10.83,32.08,72.01,-52.45
GRASIM,20,46,73.9,2.26,20.0,20.0,-48.02
GRASIM,30,46,60.9,-1.3,30.0,30.0,-50.0
GRASIM,50,46,54.3,2.81,48.28,47.88,-50.84
GRASIM,75,46,45.7,3.24,-41.37,68.85,-51.87
HAL,20,67,68.7,-1.43,20,20.0,-48.38
HAL,30,67,56.7,-5.01,30,30.0,-50.87
HAL,50,67,49.3,-1.11,-0.4,50.0,-50.72
HAL,75,67,35.8,-6.71,-50.58,72.47,-50.91
HAVELLS,20,57,66.7,-5.11,20,19.26,-53.85
HAVELLS,30,57,54.4,-10.04,30,28.45,-55.93
HAVELLS,50,57,47.4,-7.56,-50.0,46.74,-56.43
HAVELLS,75,57,36.8,-10.81,-50.81,67.02,-56.21
HCLTECH,20,51,70.6,-1.27,20,20.0,-52.31
HCLTECH,30,51,64.7,1.63,30,30.0,-50.39
HCLTECH,50,51,54.9,2.56,38.16,47.85,-52.58
HCLTECH,75,51,49.0,6.74,-7.43,68.87,-53.0
HDFCAMC,20,14,85.7,9.37,20.0,20.0,-54.38
HDFCAMC,30,14,78.6,12.21,30.0,30.0,-53.03
HDFCAMC,50,14,57.1,1.29,27.57,44.39,-56.18
HDFCAMC,75,14,50.0,4.7,-22.59,65.02,-55.63
HDFCBANK,20,50,66.0,-3.88,20.0,19.41,-49.11
HDFCBANK,30,50,60.0,-2.35,30.0,28.69,-48.92
HDFCBANK,50,50,44.0,-7.95,-21.95,44.79,-49.39
