avg_holding_minutes,avg_loss_return_pct,avg_return_delta_pct,avg_return_pct,avg_win_return_pct,group_name,kept_pct,max_return_pct,median_holding_minutes,median_return_delta_pct,median_return_pct,min_return_pct,opportunities,positive_underlyings,regime_model,score,spot_timeframe,timeframe,win_rate,win_rate_delta_pct
2267.6389,-61.0256,10.292,8.0743,34.6512,monthly_series,41.38,191.0163,992.5,2.8084,13.5959,-99.9966,36,2,ema_alignment,33.368728,30m,5m,0.7222,4.4
93.9718,-27.3133,5.5986,-2.3574,9.6006,weekly_expiry_day,29.96,10.0,42.0,0.0,10.0,-99.9508,71,0,ema_alignment,6.711932,30m,1m,0.6761,-5.81
80.4474,-14.2879,6.5078,-0.3455,9.7944,weekly_expiry_day,36.19,10.0,39.0,0.0,10.0,-99.6904,38,1,ema_alignment,11.298223,30m,3m,0.5789,-6.87
90.5263,-8.1202,-0.5357,-1.2629,8.1659,weekly_expiry_day,35.85,10.0,95.0,-10.5197,-0.5197,-23.4332,19,1,ema_alignment,1.496969,30m,5m,0.4211,-23.93
969.5122,-66.3938,0.7793,-1.6568,29.5417,weekly_series,53.95,196.7389,540.0,-1.3852,8.5317,-99.9979,123,1,ema_alignment,13.523843,30m,10m,0.6748,-1.82
867.9474,-63.0581,3.972,0.4964,28.4218,weekly_series,52.49,172.3831,540.0,0.5918,10.7676,-99.9979,95,1,ema_alignment,19.078577,30m,15m,0.6947,1.51
888.3582,-63.5116,-2.4315,-9.3531,29.53,weekly_series,63.81,116.25,600.0,0.4682,6.7334,-99.9971,67,0,ema_alignment,-5.697983,30m,30m,0.5821,-1.79
1012.6793,-71.1739,-4.4052,-6.4046,24.9353,weekly_series,55.93,194.6341,522.0,-0.7771,9.6985,-99.9972,184,0,ema_alignment,0.676071,30m,3m,0.6739,-4.65
1043.007,-71.5855,-3.2555,-1.8054,29.208,weekly_series,47.35,142.4583,580.0,-2.6788,9.7531,-99.9963,143,0,ema_alignment,8.638955,30m,5m,0.6923,-4.61
126.1923,-50.0932,-1.661,-16.1445,8.7511,monthly_expiry_day,41.94,10.0,110.0,-4.6037,5.3963,-99.9858,26,0,macd_bias,-11.757196,30m,1m,0.5769,-6.83
107.75,-11.6409,-1.0432,2.9602,7.8272,monthly_expiry_day,52.17,10.0,84.0,0.0,10.0,-12.8432,12,2,macd_bias,17.275126,30m,3m,0.75,1.09
136.25,-51.7322,-8.3875,-22.0805,7.5713,monthly_expiry_day,61.54,10.0,132.5,0.2719,0.0131,-97.6744,8,1,macd_bias,-9.926693,30m,5m,0.5,3.85
2158.0,-60.0185,3.3455,-4.6121,42.0459,monthly_series,46.05,158.0537,1170.0,-0.4783,9.2924,-99.998,35,1,macd_bias,5.731985,30m,10m,0.5429,-7.55
2271.3636,-55.9456,9.0061,0.499,42.0898,monthly_series,44.59,149.5619,1260.0,1.9502,10.9342,-99.998,33,1,macd_bias,12.338141,30m,15m,0.5758,-0.53
2725.4545,-67.4368,1.9234,-0.5837,28.4829,monthly_series,56.9,76.371,1110.0,0.9932,11.06,-99.998,33,1,macd_bias,13.712844,30m,30m,0.697,2.46
2895.0612,-70.7767,1.3882,-1.5551,38.638,monthly_series,59.04,191.6225,1332.0,1.2551,10.6617,-99.9986,49,1,macd_bias,12.26194,30m,3m,0.6327,-0.59
2333.7805,-66.0648,9.0552,6.8375,37.004,monthly_series,47.13,191.0163,1030.0,3.6097,14.3972,-99.9966,41,2,macd_bias,32.93403,30m,5m,0.7073,2.91
89.1935,-27.8215,6.3627,-1.5933,9.7051,weekly_expiry_day,39.24,10.0,23.0,0.0,10.0,-99.9759,93,1,macd_bias,14.934588,30m,1m,0.6989,-3.53
75.5294,-17.0803,5.6139,-1.2394,9.8492,weekly_expiry_day,48.57,10.0,39.0,0.0,10.0,-99.6904,51,0,macd_bias,6.694167,30m,3m,0.5882,-5.94
74.6,-13.696,-1.2338,-1.961,8.8713,weekly_expiry_day,47.17,10.0,50.0,-7.8412,2.1588,-97.5,25,1,macd_bias,3.007359,30m,5m,0.52,-14.04
912.0952,-63.439,3.8333,1.3972,29.8186,weekly_series,46.05,196.7389,460.0,-0.7436,9.1733,-99.9953,105,2,macd_bias,25.641986,30m,10m,0.6952,0.22
742.5904,-56.8128,10.497,7.0214,30.0435,weekly_series,45.86,172.3831,375.0,2.2929,12.4687,-99.9979,83,2,macd_bias,38.666631,30m,15m,0.7349,5.53
828.806,-64.5855,-6.1242,-13.0458,26.2872,weekly_series,63.81,116.25,450.0,-4.4113,1.8539,-99.9963,67,0,macd_bias,-14.058356,30m,30m,0.5672,-3.28
972.7401,-70.4059,-3.8738,-5.8732,23.4974,weekly_series,69.0,194.6341,501.0,-0.7688,9.7068,-99.9972,227,0,macd_bias,1.719192,30m,3m,0.6872,-3.32
1046.6139,-71.8353,-3.4511,-2.001,28.4722,weekly_series,52.32,142.4583,585.0,-1.7936,10.6383,-99.9963,158,0,macd_bias,9.609053,30m,5m,0.6962,-4.22
127.9048,-44.7177,2.7466,-11.7369,8.559,monthly_expiry_day,33.87,10.0,110.0,0.0,10.0,-99.9858,21,0,ema_macd_agree,-4.531686,30m,1m,0.619,-2.62
102.6,-11.644,-0.2877,3.7157,7.5556,monthly_expiry_day,43.48,10.0,84.0,0.0,10.0,-12.8432,10,2,ema_macd_agree,17.951315,30m,3m,0.8,6.09
125.8333,-48.9666,2.4183,-11.2747,7.5713,monthly_expiry_day,46.15,10.0,132.5,5.4013,5.1425,-97.6744,6,1,ema_macd_agree,-2.383827,30m,5m,0.6667,20.52
1664.8,-63.0511,15.858,7.9004,47.8107,monthly_series,32.89,158.0537,1130.0,6.3243,16.095,-99.998,25,1,ema_macd_agree,24.153599,30m,10m,0.64,2.16
2065.3448,-50.0499,14.4188,5.9117,45.414,monthly_series,39.19,149.5619,1140.0,2.2294,11.2134,-99.998,29,2,ema_macd_agree,21.693424,30m,15m,0.5862,0.51
2895.0,-66.7913,-4.9692,-7.4763,26.4179,monthly_series,37.93,76.371,1200.0,0.0,10.0668,-99.998,22,1,ema_macd_agree,3.562299,30m,30m,0.6364,-3.6
2692.5789,-61.0184,11.8764,8.9331,45.3078,monthly_series,45.78,191.6225,1131.0,1.8024,11.209,-99.9986,38,1,ema_macd_agree,25.041849,30m,3m,0.6579,1.93
2283.8235,-61.0256,8.2288,6.0111,33.9431,monthly_series,39.08,191.0163,955.0,1.072,11.8595,-99.9966,34,2,ema_macd_agree,27.99938,30m,5m,0.7059,2.77
93.0476,-25.0747,5.9601,-1.9959,9.5435,weekly_expiry_day,26.58,10.0,42.0,0.0,10.0,-99.9133,63,0,ema_macd_agree,6.937502,30m,1m,0.6667,-6.75
81.3429,-13.965,6.4534,-0.3999,9.7739,weekly_expiry_day,33.33,10.0,39.0,0.0,10.0,-99.6904,35,1,ema_macd_agree,10.852503,30m,3m,0.5714,-7.62
90.2941,-6.5889,0.1059,-0.6213,7.9039,weekly_expiry_day,32.08,10.0,95.0,-10.5197,-0.5197,-21.1212,17,1,ema_macd_agree,1.794256,30m,5m,0.4118,-24.86
915.2083,-63.4684,4.6047,2.1686,30.5787,weekly_series,42.11,196.7389,460.0,-0.7034,9.2135,-99.9953,96,2,ema_macd_agree,26.528148,30m,10m,0.6979,0.49
757.9167,-58.5331,7.6941,4.2185,30.0573,weekly_series,39.78,172.3831,375.0,0.9383,11.1141,-99.9979,72,2,ema_macd_agree,30.386847,30m,15m,0.7083,2.87
859.2453,-65.6629,-4.7467,-11.6683,26.6505,weekly_series,50.48,116.25,480.0,-4.0509,2.2143,-99.9963,53,0,ema_macd_agree,-11.803778,30m,30m,0.5849,-1.51
1006.0739,-70.1803,-4.5163,-6.5157,24.7771,weekly_series,53.5,194.6341,532.5,-0.7771,9.6985,-99.9972,176,0,ema_macd_agree,0.474172,30m,3m,0.6705,-4.99
1011.3309,-70.2329,-2.3997,-0.9496,29.0493,weekly_series,46.03,142.4583,555.0,-2.6788,9.7531,-99.9963,139,0,ema_macd_agree,10.133748,30m,5m,0.6978,-4.06
136.3636,-48.0971,-2.7758,-17.2593,8.4389,monthly_expiry_day,35.48,10.0,114.5,-9.3668,0.6332,-99.9858,22,0,ema_alignment,-14.381196,60m,1m,0.5455,-9.97
111.0,-11.644,-1.8588,2.1446,6.7408,monthly_expiry_day,34.78,10.0,84.0,-4.8575,5.1425,-12.8432,8,2,ema_alignment,11.324784,60m,3m,0.75,1.09
157.5,-48.9666,-8.2191,-21.9121,5.1425,monthly_expiry_day,30.77,10.0,160.0,0.2719,0.0131,-97.6744,4,1,ema_alignment,-7.203414,60m,5m,0.5,3.85
2384.4828,-66.7165,9.7243,1.7667,37.8105,monthly_series,38.16,158.0537,1170.0,0.4783,10.249,-99.998,29,1,ema_alignment,14.41928,60m,10m,0.6552,3.68
2626.1842,-58.6091,4.9485,-3.5586,36.4781,monthly_series,51.35,149.5619,1312.5,-0.5343,8.4497,-99.998,38,0,ema_alignment,2.498546,60m,15m,0.5789,-0.22
2974.2857,-71.7565,-10.1052,-12.6123,25.6575,monthly_series,48.28,80.3803,1035.0,-4.8627,5.2041,-99.998,28,0,ema_alignment,-9.168037,60m,30m,0.6071,-6.53
2666.7273,-61.2106,8.7714,5.8281,40.5033,monthly_series,53.01,191.6225,1236.0,1.5489,10.9555,-99.9986,44,1,ema_alignment,21.949672,60m,3m,0.6591,2.05
