exp,opt_type,entry_date,month,entry_time,ep,spot_poc_rev,ibr,ibr_tgt_pct,ibr_sl_pct,rA,rB,rC,reason_B,reason_C,poc_alloc
2025-09-18,CE,2025-09-17,2025-09,2025-09-17 15:15:00+05:30,1672.75,False,138.4,15.0,-18.6,14.8229,15.0,4.936,target_hit,trail_stop,0.1
2025-09-18,PE,2025-09-04,2025-09,2025-09-04 13:50:00+05:30,631.6,False,115.5,22.0,-32.8,30.0,22.023432552248263,5.3024,target_hit,trail_stop,0.1
2025-09-18,PE,2025-09-08,2025-09,2025-09-08 15:00:00+05:30,522.7,False,97.8,30.5,-25.6,-99.9904,-25.597857279510244,-25.5979,hard_sl,hard_sl_ibr,0.1
2025-10-01,CE,2025-09-17,2025-09,2025-09-17 15:05:00+05:30,813.9,False,98.0,15.0,-23.7,-99.9939,15.0,7.3637,target_hit,trail_stop,0.1
2025-10-01,PE,2025-09-17,2025-09,2025-09-17 12:35:00+05:30,443.4,True,62.3,23.4,-18.8,30.0,-18.78664862426703,2.3144,hard_sl,trail_stop,0.35
2025-10-01,PE,2025-09-24,2025-09,2025-09-24 09:15:00+05:30,710.0,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
2025-10-01,PE,2025-09-29,2025-09,2025-09-29 11:45:00+05:30,2000.0,False,188.9,15.0,-22.5,-18.8175,-22.46250000000001,-0.4882,hard_sl,trail_stop,0.1
2025-10-09,CE,2025-09-29,2025-09,2025-09-29 09:45:00+05:30,353.95,False,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.1
2025-10-09,CE,2025-10-07,2025-10,2025-10-07 12:10:00+05:30,747.45,False,324.8,55.3,-75.1,-10.0943,-10.0943,5.6838,end,trail_stop,0.1
2025-10-09,PE,2025-09-25,2025-09,2025-09-25 14:05:00+05:30,455.05,False,63.9,15.0,-36.7,30.0,15.0,3.7621,target_hit,trail_stop,0.1
2025-10-09,PE,2025-09-29,2025-09,2025-09-29 11:40:00+05:30,1002.25,False,229.8,25.7,-43.1,-99.985,-43.10800698428535,6.537,hard_sl,trail_stop,0.1
2025-10-16,CE,2025-10-03,2025-10,2025-10-03 14:40:00+05:30,806.5,False,133.8,15.0,-37.9,30.0,15.0,-1.3639,target_hit,trail_stop,0.1
2025-10-16,CE,2025-10-08,2025-10,2025-10-08 11:10:00+05:30,1474.15,True,157.6,15.0,-21.4,30.0,-21.381813248312604,-7.0,hard_sl,trail_stop,0.35
2025-10-16,PE,2025-10-07,2025-10,2025-10-07 11:50:00+05:30,125.3,False,47.7,54.2,-60.1,-99.9601,-60.0558659217877,11.6233,hard_sl,trail_stop,0.1
2025-10-23,CE,2025-10-09,2025-10,2025-10-09 15:10:00+05:30,890.0,False,164.8,15.0,-45.4,30.0,15.0,1.441,target_hit,trail_stop,0.1
2025-10-23,CE,2025-10-13,2025-10,2025-10-13 14:25:00+05:30,955.0,False,82.4,15.0,-14.6,30.0,15.0,9.699,target_hit,trail_stop,0.1
2025-10-23,CE,2025-10-15,2025-10,2025-10-15 15:30:00+05:30,1177.5,False,189.9,15.0,-45.6,30.0,15.0,4.093,target_hit,trail_stop,0.1
2025-10-23,CE,2025-10-20,2025-10,2025-10-20 09:25:00+05:30,2850.0,False,0.0,30.0,-50.0,-3.3333,-3.3333,-3.3333,end,end,0.1
2025-10-23,PE,2025-10-13,2025-10,2025-10-13 09:20:00+05:30,305.0,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
