name,dt,xdt,entry,entry_mid,o,w1_c,p0945,typ,rest_h,after_open_h,src,nb,helper,r_open,r_w1c,r_0945,r_typ,r_mid,unrev_day,unrev_rest,r_corr,zero
ICICIBANK,2025-11-07,2025-11-10,1342.6,1343.4499999999998,1342.9,1345.6,1345.6,1345.2333333333333,1349.6,1349.6,upstox_spot,13,0.00022344704305088392,0.00022344704305088392,0.002234470430507951,0.002234470430507951,0.001961368489001414,0.0012289587367795285,False,False,0.00022344704305088392,False
ICICIBANK,2025-11-10,2025-11-11,1346.8,1347.75,1349.0,1353.4,1353.2,1351.5000000000002,1360.4,1360.4,upstox_spot,13,0.0016335016335016217,0.0016335016335016217,0.004900504900505087,0.004752004752004879,0.0034897534897537774,0.0032670032670032434,False,False,0.0016335016335016217,False
ICICIBANK,2025-11-11,2025-11-12,1359.0,1359.15,1370.0,1359.1,1359.2,1362.5,1367.2,1367.2,upstox_spot,13,0.008094186902133815,0.008094186902133815,7.358351729203072e-05,0.00014716703458428348,0.002575423105224406,0.004083885209712923,True,True,0.002575423105224406,False
ICICIBANK,2025-11-13,2025-11-14,1385.4,1386.45,1374.0,1377.7,1377.7,1377.6333333333332,1378.5,1378.5,upstox_spot,13,-0.008228670420095341,-0.008228670420095341,-0.0055579615995380305,-0.0055579615995380305,-0.005606082479187924,-0.006893316009816797,False,False,-0.008228670420095341,False
ICICIBANK,2025-11-19,2025-11-20,1383.1,1383.55,1380.1,1376.4,1376.5,1377.9666666666665,1388.3,1388.3,upstox_spot,13,-0.0021690405610584884,-0.0021690405610584884,-0.004844190586363872,-0.004771889234328586,-0.003711469404477974,-0.003506615573711125,False,False,-0.0021690405610584884,False
ICICIBANK,2025-11-26,2025-11-27,1375.0,1375.4,1379.0,1383.7,1383.7,1382.5333333333335,1394.0,1394.0,upstox_spot,13,0.0029090909090909722,0.0029090909090909722,0.006327272727272737,0.006327272727272737,0.005478787878788083,0.004618181818181855,False,False,0.0029090909090909722,False
ICICIBANK,2025-11-27,2025-11-28,1393.9,1393.95,1392.0,1394.0,1394.0,1393.8333333333333,1396.0,1396.0,upstox_spot,13,-0.0013630820001435673,-0.0013630820001435673,7.174115790231639e-05,7.174115790231639e-05,-4.782743860165528e-05,-0.0006456704211206254,False,False,-0.0013630820001435673,False
ICICIBANK,2025-12-03,2025-12-04,1392.0,1393.1,1387.0,1389.8,1389.7,1387.9666666666665,1391.5,1391.5,upstox_spot,13,-0.0035919540229885083,-0.0035919540229885083,-0.0015804597701150058,-0.0016522988505747183,-0.0028975095785441773,-0.002586206896551646,False,False,-0.0035919540229885083,False
ICICIBANK,2025-12-05,2025-12-08,1392.5,1392.85,1387.0,1385.7,1385.6,1386.2333333333333,1394.9,1394.9,upstox_spot,13,-0.003949730700179566,-0.003949730700179566,-0.004883303411131079,-0.004955116696588879,-0.0045002992220227744,-0.004416517055655378,False,False,-0.003949730700179566,False
ICICIBANK,2025-12-16,2025-12-17,1366.6,1366.8,1365.0,1349.0,1349.0,1354.2,1354.9,1354.9,upstox_spot,13,-0.001170788818966706,-0.001170788818966706,-0.012878677008634543,-0.012878677008634543,-0.009073613346992415,-0.007024732913800569,True,True,-0.009073613346992415,False
ICICIBANK,2025-12-22,2025-12-23,1367.5,1368.25,1361.1,1360.4,1360.4,1361.8,1364.8,1364.8,upstox_spot,13,-0.004680073126142714,-0.004680073126142714,-0.005191956124314334,-0.005191956124314334,-0.004168190127970761,-0.004936014625228524,False,False,-0.004680073126142714,False
ICICIBANK,2025-12-23,2025-12-24,1362.4,1363.35,1363.8,1367.0,1367.1,1364.8999999999999,1368.2,1368.2,upstox_spot,13,0.0010275983558425406,0.0010275983558425406,0.003376394597768506,0.0034497944803286718,0.0018349970640045843,0.0022019964768056344,False,False,0.0010275983558425406,False
ICICIBANK,2025-12-30,2025-12-31,1347.0,1347.05,1342.8,1344.1,1343.7,1344.6,1350.0,1350.0,upstox_spot,13,-0.003118040089086893,-0.003118040089086893,-0.002152932442464839,-0.0024498886414253684,-0.0017817371937639548,-0.0026354862657759215,False,False,-0.003118040089086893,False
ICICIBANK,2026-01-02,2026-01-05,1355.1,1356.0,1354.2,1367.3,1367.4,1363.1666666666667,1375.5,1375.5,upstox_spot,13,-0.0006641576267433225,-0.0006641576267433225,0.00900302560696642,0.009076820898826776,0.005952820210070708,0.004169433990111493,False,False,-0.0006641576267433225,False
ICICIBANK,2026-01-05,2026-01-06,1372.0,1372.4,1372.0,1403.9,1403.8,1393.6000000000001,1413.6,1413.6,upstox_spot,13,0.0,0.0,0.023250728862973746,0.02317784256559774,0.01574344023323615,0.011625364431486984,False,False,0.0,True
ICICIBANK,2026-01-06,2026-01-07,1409.9,1411.0,1408.0,1414.5,1414.5,1411.8999999999999,1429.9,1429.9,upstox_spot,13,-0.0013476133059082684,-0.0013476133059082684,0.0032626427406199365,0.0032626427406199365,0.001418540322008388,0.000957514717355723,False,False,-0.0013476133059082684,False
ICICIBANK,2026-01-07,2026-01-08,1425.6,1427.5,1429.0,1439.7,1439.7,1434.5,1442.2,1442.2,upstox_spot,13,0.0023849607182941934,0.0023849607182941934,0.00989057239057245,0.00989057239057245,0.00624298540965218,0.0061377665544333215,False,False,0.0023849607182941934,False
ICICIBANK,2026-01-12,2026-01-13,1420.0,1420.0,1420.0,1415.7,1415.3,1416.6000000000001,1441.8,1441.8,upstox_spot,13,0.0,0.0,-0.0030281690140844253,-0.0033098591549296508,-0.002394366197183029,-0.0015140845070422682,False,False,0.0,True
ICICIBANK,2026-01-13,2026-01-14,1436.5,1437.1,1425.6,1433.9,1433.9,1434.3,1435.0,1435.0,upstox_spot,13,-0.007587887225896317,-0.007587887225896317,-0.0018099547511311043,-0.0018099547511311043,-0.0015315001740341394,-0.004698920988513766,False,False,-0.007587887225896317,False
ICICIBANK,2026-01-27,2026-01-28,1367.1,1368.1,1362.6,1374.4,1374.4,1372.4666666666665,1376.8,1376.8,upstox_spot,13,-0.003291639236339683,-0.003291639236339683,0.005339770316729053,0.005339770316729053,0.003925584570745766,0.0010240655401947407,False,False,-0.003291639236339683,False
ICICIBANK,2026-01-29,2026-01-30,1385.0,1385.5,1368.2,1376.7,1376.3,1375.6000000000001,1378.3,1378.3,upstox_spot,13,-0.012129963898916962,-0.012129963898916962,-0.00599277978339352,-0.0062815884476534745,-0.0067870036101082,-0.009061371841155186,False,False,-0.012129963898916962,False
ICICIBANK,2026-02-02,2026-02-03,1351.0,1352.7,1412.0,1392.5,1392.7,1394.3,1399.6,1399.6,upstox_spot,13,0.04515173945225759,0.04515173945225759,0.030717986676535913,0.030866025166543354,0.032050333086602434,0.03793486306439675,True,True,0.032050333086602434,False
ICICIBANK,2026-02-04,2026-02-05,1406.1,1409.25,1414.0,1410.8,1410.8,1409.0,1411.0,1411.0,upstox_spot,13,0.005618377071332059,0.005618377071332059,0.0033425787639571602,0.0033425787639571602,0.0020624422160586686,0.00448047791764461,True,True,0.0020624422160586686,False
ICICIBANK,2026-02-06,2026-02-09,1408.0,1409.25,1413.5,1401.1,1401.1,1405.0333333333335,1403.9,1403.9,upstox_spot,13,0.00390625,0.00390625,-0.004900568181818277,-0.004900568181818277,-0.002107007575757436,-0.0004971590909090828,True,True,-0.002107007575757436,False
ICICIBANK,2026-02-11,2026-02-12,1409.0,1409.0,1406.1,1423.5,1423.5,1418.9333333333334,1433.0,1433.0,upstox_spot,13,-0.0020581973030519007,-0.0020581973030519007,0.010290986515258949,0.010290986515258949,0.007049917198959088,0.0041163946061035794,False,False,-0.0020581973030519007,False
ICICIBANK,2026-02-12,2026-02-13,1432.0,1432.0,1425.3,1425.7,1425.6,1428.3666666666668,1429.3,1429.3,upstox_spot,13,-0.00467877094972069,-0.00467877094972069,-0.004399441340782073,-0.004469273743016866,-0.0025372439478583697,-0.004539106145251437,False,False,-0.00467877094972069,False
